gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
T4_x1,Qwen3-4B,20000,5,71.0,18.37,76.45,131.19
T4_x1,Qwen3-4B,25000,1,25.14,19.66,30.23,30.9
T4_x1,Qwen3-4B,25000,2,41.7,19.13,46.92,63.55
T4_x1,Qwen3-4B,25000,5,94.06,17.82,99.69,169.29
T4_x1,Qwen3-8B-AWQ,1000,1,0.7,31.53,3.87,4.61
T4_x1,Qwen3-8B-AWQ,1000,2,1.22,27.64,4.86,5.6
T4_x1,Qwen3-8B-AWQ,1000,5,2.83,22.85,7.4,8.43
T4_x1,Qwen3-8B-AWQ,5000,1,3.76,28.19,7.3,7.93
T4_x1,Qwen3-8B-AWQ,5000,2,5.61,18.99,11.44,12.15
T4_x1,Qwen3-8B-AWQ,5000,5,16.58,15.15,25.38,26.42
T4_x1,Qwen3-8B-AWQ,10000,1,9.43,24.65,13.49,14.22
T4_x1,Qwen3-8B-AWQ,10000,2,14.4,13.42,24.1,25.49
T4_x1,Qwen3-8B-AWQ,10000,5,35.72,15.12,45.32,61.54
T4_x1,Qwen3-8B-AWQ,15000,1,17.4,21.14,22.13,22.77
T4_x1,Qwen3-8B-AWQ,15000,2,26.56,10.47,41.46,42.23
T4_x1,Qwen3-8B-AWQ,15000,5,59.13,12.18,72.27,109.28
T4_x1,Qwen3-8B-AWQ,20000,1,27.89,18.61,33.26,34.02
T4_x1,Qwen3-8B-AWQ,20000,2,44.74,18.4,50.17,67.85
T4_x1,Qwen3-8B-AWQ,20000,5,99.47,18.39,104.91,178.34
T4_x1,Qwen3-8B-AWQ,25000,1,40.59,16.7,46.58,47.34
T4_x1,Qwen3-8B-AWQ,25000,2,65.48,16.81,71.43,97.1
T4_x1,Qwen3-8B-AWQ,25000,5,140.07,16.7,146.05,247.03
T4_x1,Qwen3-8B-AWQ,29000,1,52.3,16.32,58.43,59.37
T4_x1,Qwen3-8B-AWQ,29000,2,82.35,15.19,88.95,119.75
T4_x1,Qwen3-8B-AWQ,29000,5,176.83,16.12,183.04,308.12
T4_x2,Qwen3-0.6B,1000,1,0.1,111.79,0.99,1.64
T4_x2,Qwen3-0.6B,1000,2,0.09,103.4,1.07,1.74
T4_x2,Qwen3-0.6B,1000,5,0.22,87.79,1.36,2.11
